gauge_id,state,name,provider,lat,long
06611000,CO,"COLORADO CREEK NEAR SPICER, CO.",usgs,40.44192626,-106.5019794
06611100,CO,"GRIZZLY CREEK NEAR SPICER, CO.",usgs,40.49331438,-106.4497549
06611200,CO,"BUFFALO CREEK NEAR HEBRON, CO.",usgs,40.5230357,-106.3691966
06611300,CO,"GRIZZLY CREEK NEAR HEBRON, CO.",usgs,40.55747954,-106.3900305
06611500,CO,"GRIZZLY CREEK NEAR WALDEN, CO",usgs,40.6355335,-106.396697
06611700,CO,"LITTLE GRIZZLY CREEK NEAR COALMONT, CO.",usgs,40.5513672,-106.616429
06611800,CO,"LITTLE GRIZZLY CREEK ABOVE COALMONT, CO.",usgs,40.5733126,-106.5100346
06611900,CO,"LITTLE GRIZZLY CREEK ABOVE HEBRON, CO.",usgs,40.5824791,-106.4500324
06612000,CO,"LITTLE GRIZZLY CREEK NEAR HEBRON, CO.",usgs,40.6285892,-106.403364
06612500,CO,"ROARING FORK NEAR WALDEN, CO.",usgs,40.68303238,-106.460588
06613000,CO,"NORTH PLATTE RIVER NEAR WALDEN, CO.",usgs,40.6988655,-106.4155864
06614000,CO,"NORTH FORK NORTH PLATTE RIVER NEAR WALDEN, CO.",usgs,40.7277538,-106.411975
06614800,CO,"MICHIGAN RIVER NEAR CAMERON PASS, CO",usgs,40.49609409,-105.8650119
06615000,CO,"SOUTH FORK MICHIGAN RIVER NEAR GOULD, CO",usgs,40.46220485,-106.008629
06615500,CO,"MICHIGAN RIVER NEAR LINDLAND, CO.",usgs,40.5535921,-106.0416849
06616000,CO,"NORTH FORK MICHIGAN RIVER NEAR GOULD, CO.",usgs,40.5494257,-106.0211287
06617100,CO,"MICHIGAN RIVER AT WALDEN, CO.",usgs,40.7410876,-106.2794704
06617500,CO,"ILLINOIS RIVER NEAR RAND, CO.",usgs,40.46248127,-106.1769682
06618000,CO,"WILLOW CREEK NEAR RAND, CO.",usgs,40.46970305,-106.2175251
06618300,CO,"ILLINOIS RIVER BLW ISH BALDWIN DITCH NR WALDEN, CO",usgs,40.5755346,-106.241692
06618480,CO,"ILLINOIS RIVER BLW POTTER CREEK NR WALDEN, CO",usgs,40.7085881,-106.2803039
06618500,CO,"ILLINOIS CREEK AT WALDEN, CO.",usgs,40.72636556,-106.2905819
06619000,CO,"MICHIGAN RIVER NEAR COWDREY, CO.",usgs,40.86164125,-106.3372492
06619400,CO,"CANADIAN RIVER NEAR LINDLAND, CO.",usgs,40.69525638,-106.0661287
06619415,CO,"BUSH DRAW NEAR WALDEN, CO.",usgs,40.74275544,-106.0955739
